rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,100.0,janice stfu — drake
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-07-03,98.0,choosin' texas — ella langley
3,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,96.0,shabang — drake
4,Be Her,Ella Langley,,Country,0,apple_music,2026-07-03,94.0,be her — ella langley
5,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-07-03,92.0,stupid song — olivia rodrigo
6,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-07-03,90.0,i can't love you anymore — ella langley & morgan wallen
7,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-07-03,88.0,spend dat — yung miami
8,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-07-03,86.0,"ran to atlanta — drake, future & molly santana"
9,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-07-03,84.0,20 cigarettes — morgan wallen
10,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,82.0,whisper my name — drake
11,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-07-03,80.0,hate that i made you love me — ariana grande
12,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-07-03,78.0,cinderella (feat. ty dolla $ign) — mac miller
13,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,,Country,0,apple_music,2026-07-03,76.0,"i knew it, i knew you (from ""toy story 5"") — taylor swift"
14,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-07-03,74.0,the cure — olivia rodrigo
15,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-07-03,72.0,i'm the problem — morgan wallen
16,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,70.0,national treasures — drake
17,Boston,STELLA LEFTY,,Country,0,apple_music,2026-07-03,68.0,boston — stella lefty
18,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-07-03,66.0,drop dead — olivia rodrigo
19,Be By You,Luke Combs,,Country,0,apple_music,2026-07-03,64.0,be by you — luke combs
20,Last Night,Morgan Wallen,,Country,0,apple_music,2026-07-03,62.0,last night — morgan wallen
21,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-03,60.0,freestyle — lil baby
22,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-03,57.99999999999999,in a minute — lil baby
23,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-07-03,56.00000000000001,just in case — morgan wallen
24,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-07-03,54.0,man i need — olivia dean
25,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-07-03,52.0,i had some help (feat. morgan wallen) — post malone
26,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-07-03,50.0,wait for u (feat. drake & tems) — future
27,Spin You Around (1/24),Morgan Wallen,,Country,0,apple_music,2026-07-03,48.0,spin you around (1/24) — morgan wallen
28,honeybee,Olivia Rodrigo,,Pop,0,apple_music,2026-07-03,46.0,honeybee — olivia rodrigo
29,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-07-03,44.0,i’m spent — drake & loe shimmy
30,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-07-03,42.0,b’s on the table — drake & 21 savage
31,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-07-03,40.0,billie jean — michael jackson
32,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-07-03,38.0,e85 — don toliver
33,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-07-03,36.0,what i want — morgan wallen & tate mcrae
34,RUBBERZ,Fenix Flexin & Purps On The Beat,,Alternative,0,apple_music,2026-07-03,34.0,rubberz — fenix flexin & purps on the beat
35,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,32.0,2 hard 4 the radio — drake
36,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,30.0,plot twist — drake
37,weren't for the wind,Ella Langley,,Country,0,apple_music,2026-07-03,28.000000000000004,weren't for the wind — ella langley
38,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-07-03,26.0,like me (feat. 42 dugg & lil baby) — future
39,Cowgirls (feat. ERNEST),Morgan Wallen,,Country,0,apple_music,2026-07-03,24.0,cowgirls (feat. ernest) — morgan wallen
40,Thinkin’ Bout Me,Morgan Wallen,,Country,0,apple_music,2026-07-03,22.0,thinkin’ bout me — morgan wallen
41,Piece Of Your Love,Rod Wave,,Music,0,apple_music,2026-07-03,20.0,piece of your love — rod wave
42,Radio,Future,,Hip-Hop/Rap,0,apple_music,2026-07-03,18.0,radio — future
43,Wasted On You,Morgan Wallen,,Country,0,apple_music,2026-07-03,16.0,wasted on you — morgan wallen
44,Don't We,Morgan Wallen,,Country,0,apple_music,2026-07-03,14.000000000000002,don't we — morgan wallen
45,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-03,12.0,best i ever had — drake
46,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-07-03,10.0,march madness — future
